date,region,resource_type,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,day_of_week,month,year,quarter,is_weekend,cpu_allocation,storage_allocation,utilization_ratio,storage_efficiency,usage_cpu_lag_1,usage_cpu_lag_3,usage_cpu_lag_7,usage_cpu_rolling_mean_7d,usage_cpu_rolling_max_7d,usage_cpu_rolling_min_7d,usage_cpu_rolling_mean_30d,usage_cpu_rolling_max_30d,usage_cpu_rolling_min_30d,usage_storage_rolling_mean_7d,usage_storage_rolling_max_7d,usage_storage_rolling_min_7d,usage_storage_rolling_mean_30d,usage_storage_rolling_max_30d,usage_storage_rolling_min_30d,weather,outages,price_changes
2023-01-10,East US,Container,86,779,380,90.92,0.86,0,1,1,2023,1,0,103,1949,0.8349514563106796,0.39969214982042073,55.0,97.0,61.0,80.42857142857143,97.0,55.0,80.7,98.0,55.0,1002.8571428571429,1915.0,598.0,1193.8,1995.0,501.0,21.236203565420873,0,-0.282
2023-01-11,East US,VM,97,1562,369,114.66,0.98,0,2,1,2023,1,0,91,1590,1.065934065934066,0.9823899371069182,86.0,77.0,81.0,82.71428571428571,97.0,55.0,81.0,98.0,55.0,1009.7142857142857,1915.0,598.0,1180.5666666666666,1995.0,501.0,38.52142919229749,0,0.092
2023-01-11,East US,Storage,75,1420,212,114.66,0.98,0,2,1,2023,1,0,85,1547,0.8823529411764706,0.9179056237879767,97.0,55.0,85.0,81.28571428571429,97.0,55.0,80.43333333333334,98.0,55.0,1118.2857142857142,1915.0,598.0,1174.7333333333333,1995.0,501.0,31.959818254342153,0,0.771
2023-01-11,East US,Container,56,535,372,114.66,0.98,0,2,1,2023,1,0,95,2121,0.5894736842105263,0.2522395096652522,75.0,86.0,82.0,77.57142857142857,97.0,55.0,79.96666666666667,98.0,55.0,1066.5714285714287,1915.0,535.0,1171.8666666666666,1995.0,501.0,27.959754525911098,0,1.003
2023-01-12,East US,VM,92,943,300,100.68,0.86,0,3,1,2023,1,0,89,2111,1.0337078651685394,0.44670772145902415,56.0,97.0,97.0,76.85714285714286,97.0,55.0,79.83333333333333,98.0,55.0,927.7142857142857,1562.0,535.0,1154.7333333333333,1995.0,501.0,14.680559213273096,0,1.031
2023-01-12,East US,Storage,82,763,252,100.68,0.86,0,3,1,2023,1,0,112,1732,0.7321428571428571,0.4405311778290993,92.0,75.0,77.0,77.57142857142857,97.0,55.0,79.46666666666667,98.0,55.0,942.8571428571429,1562.0,535.0,1121.2666666666667,1995.0,501.0,14.67983561008608,0,0.604
2023-01-12,East US,Container,93,504,302,100.68,0.86,0,3,1,2023,1,0,119,1627,0.7815126050420168,0.30977258758451137,82.0,56.0,55.0,83.0,97.0,56.0,79.7,98.0,55.0,929.4285714285714,1562.0,504.0,1099.8666666666666,1995.0,501.0,11.742508365045984,0,0.512
2023-01-13,East US,VM,50,1795,388,94.56,1.01,0,4,1,2023,1,0,95,1881,0.5263157894736842,0.9542796384901648,93.0,92.0,86.0,77.85714285714286,97.0,50.0,78.26666666666667,98.0,50.0,1074.5714285714287,1795.0,504.0,1137.6666666666667,1995.0,501.0,35.98528437324806,1,0.296
2023-01-13,East US,Storage,88,1203,268,94.56,1.01,0,4,1,2023,1,0,113,2463,0.7787610619469026,0.4884287454323995,50.0,82.0,97.0,76.57142857142857,93.0,50.0,78.36666666666666,98.0,50.0,1023.2857142857143,1795.0,504.0,1152.1333333333334,1995.0,501.0,28.033450352296263,0,0.389
2023-01-13,East US,Container,71,1360,446,94.56,1.01,0,4,1,2023,1,0,106,2119,0.6698113207547169,0.6418121755545069,88.0,93.0,75.0,76.0,93.0,50.0,78.83333333333333,98.0,50.0,1014.7142857142857,1795.0,504.0,1131.3,1995.0,501.0,31.242177333881365,0,-0.276
2023-01-14,East US,VM,80,1261,346,88.49,1.04,1,5,1,2023,1,1,83,2302,0.963855421686747,0.547784535186794,71.0,50.0,56.0,79.42857142857143,93.0,50.0,78.46666666666667,98.0,50.0,1118.4285714285713,1795.0,504.0,1149.0,1995.0,501.0,10.617534828874074,0,-0.409
